Year,China,Germany,France,United Kingdom,India,Japan,United States
1970,92602973434,2.15838E+11,1.48456E+11,1.30672E+11,62422483055,2.12609E+11,1.0733E+12
1971,99800958648,2.49985E+11,1.65967E+11,1.48114E+11,67350988021,2.40152E+11,1.16485E+12
1972,1.13688E+11,2.99802E+11,2.03494E+11,1.69965E+11,71463193830,3.18031E+11,1.27911E+12
1973,1.38544E+11,3.98374E+11,2.6443E+11,1.92538E+11,85515269586,4.32083E+11,1.42538E+12
1974,1.44182E+11,4.45303E+11,2.85552E+11,2.06131E+11,99525899116,4.79626E+11,1.54524E+12
1975,1.63432E+11,4.90637E+11,3.60832E+11,2.41757E+11,98472796457,5.21542E+11,1.6849E+12
1976,1.5394E+11,5.19754E+11,3.72319E+11,2.32615E+11,1.02717E+11,5.86162E+11,1.87341E+12
1977,1.74938E+11,6.00498E+11,4.10279E+11,2.63066E+11,1.21487E+11,7.21412E+11,2.08183E+12
1978,1.49541E+11,7.4047E+11,5.06708E+11,3.35883E+11,1.373E+11,1.01361E+12,2.3516E+12
1979,1.78281E+11,8.81345E+11,6.13953E+11,4.38994E+11,1.52992E+11,1.05501E+12,2.62733E+12
1980,1.91149E+11,9.50291E+11,7.01288E+11,5.64948E+11,1.86325E+11,1.10539E+12,2.85731E+12
1981,1.95866E+11,8.00472E+11,6.15552E+11,5.40766E+11,1.93491E+11,1.21899E+12,3.20704E+12
1982,2.0509E+11,7.76576E+11,5.84878E+11,5.15049E+11,2.00715E+11,1.13452E+12,3.34379E+12
1983,2.30687E+11,7.70684E+11,5.59869E+11,4.89618E+11,2.18262E+11,1.24332E+12,3.63404E+12
1984,2.59947E+11,7.25111E+11,5.30684E+11,4.61487E+11,2.12158E+11,1.31838E+12,4.03761E+12
1985,3.09488E+11,7.32535E+11,5.53138E+11,4.89285E+11,2.32512E+11,1.39889E+12,4.33898E+12
1986,3.00758E+11,1.04626E+12,7.71471E+11,6.01453E+11,2.48986E+11,2.07895E+12,4.57963E+12
1987,2.72973E+11,1.29818E+12,9.34173E+11,7.45163E+11,2.79034E+11,2.53281E+12,4.85522E+12
1988,3.12354E+11,1.40123E+12,1.01885E+12,9.10123E+11,2.96589E+11,3.07168E+12,5.23644E+12
1989,3.47768E+11,1.39897E+12,1.02521E+12,9.26885E+11,2.96042E+11,3.05491E+12,5.64158E+12
1990,3.60858E+11,1.77167E+12,1.26918E+12,1.09317E+12,3.20979E+11,3.13282E+12,5.96314E+12
1991,3.83373E+11,1.86895E+12,1.26928E+12,1.1428E+12,2.70105E+11,3.58442E+12,6.15813E+12
1992,4.26916E+11,2.13157E+12,1.40147E+12,1.17966E+12,2.88208E+11,3.90881E+12,6.52033E+12
1993,4.44731E+11,2.07132E+12,1.32282E+12,1.06139E+12,2.79296E+11,4.45414E+12,6.85856E+12
1994,5.64325E+11,2.20507E+12,1.39398E+12,1.14049E+12,3.27276E+11,4.90704E+12,7.28724E+12
1995,7.34548E+11,2.58579E+12,1.60109E+12,1.34158E+12,3.60282E+11,5.44912E+12,7.63975E+12
1996,8.63747E+11,2.49724E+12,1.60568E+12,1.41536E+12,3.92897E+11,4.83371E+12,8.07312E+12
1997,9.61604E+11,2.21199E+12,1.45288E+12,1.55908E+12,4.15868E+11,4.41473E+12,8.57755E+12
1998,1.02904E+12,2.23899E+12,1.50311E+12,1.65017E+12,4.21351E+11,4.03251E+12,9.06282E+12
1999,1.094E+12,2.1942E+12,1.49265E+12,1.6824E+12,4.5882E+11,4.56208E+12,9.63066E+12
2000,1.21135E+12,1.94315E+12,1.36225E+12,1.65782E+12,4.68395E+11,4.88752E+12,1.02523E+13
2001,1.3394E+12,1.94411E+12,1.37647E+12,1.64025E+12,4.85441E+11,4.30354E+12,1.05818E+13
2002,1.47055E+12,2.06862E+12,1.49429E+12,1.78447E+12,5.14938E+11,4.11512E+12,1.09364E+13
2003,1.66029E+12,2.49613E+12,1.84048E+12,2.05302E+12,6.07699E+11,4.44566E+12,1.14582E+13
2004,1.95535E+12,2.80919E+12,2.11574E+12,2.41693E+12,7.09149E+11,4.81515E+12,1.22137E+13
2005,2.28597E+12,2.8458E+12,2.19613E+12,2.53868E+12,8.20382E+11,4.75541E+12,1.30366E+13
2006,2.75213E+12,2.9922E+12,2.31859E+12,2.71375E+12,9.4026E+11,4.53038E+12,1.38146E+13
2007,3.55034E+12,3.42123E+12,2.65721E+12,3.10088E+12,1.21674E+12,4.51526E+12,1.44519E+13
2008,4.59431E+12,3.73003E+12,2.91838E+12,2.92267E+12,1.1989E+12,5.03791E+12,1.47128E+13
2009,5.1017E+12,3.39779E+12,2.69022E+12,2.41091E+12,1.34189E+12,5.23138E+12,1.44489E+13
2010,6.08716E+12,3.39635E+12,2.64261E+12,2.47524E+12,1.67562E+12,5.7001E+12,1.49921E+13
